segment,env_step,gradient_step,elapsed_s,eval_seconds,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
0,17000,750,212.825,0.0,152.320251,135.071762,3.521458,0.033113,4.561798,4.561798,4.561798,4.561798,0.02354,0.01831,0.171279,8.202558,0.023905,-8.2167,1.0,0.848781,6.235089,0.031385,0.05529,0.023905,15360.0,7.565236,0.03138,0.456432,0.425052,1008.0,13037.268555,1024.0,1024.0,197.142334,17000,64.0,1999.3
0,17800,800,226.513,0.0,135.856827,119.464523,3.265441,0.032107,4.438861,4.438861,4.438861,4.438861,0.02375,0.01713,0.232865,8.221693,0.032166,-8.213943,1.0,0.859053,5.84637,0.039349,0.071515,0.032166,15360.0,7.109264,0.039334,0.486446,0.447112,1008.0,13195.056641,1024.0,1024.0,96.348099,17800,64.0,1999.3
0,18600,850,240.201,0.0,134.808136,119.487869,3.045825,0.031074,4.07322,4.07322,4.07322,4.07322,0.037598,0.015949,0.314919,8.240623,0.042837,-8.267761,1.0,0.864829,5.379449,0.04974,0.092577,0.042837,15360.0,6.89485,0.049724,0.698459,0.648735,1008.0,13283.765625,1024.0,1024.0,77.302856,18600,64.0,1999.3
0,19400,900,253.936,0.0,130.70787,116.467743,2.726973,0.03149,3.999717,3.999717,3.999717,3.999717,0.018682,0.016405,0.413071,8.255447,0.056423,-8.262424,1.0,0.861751,4.808109,0.063529,0.119952,0.056423,15360.0,6.202658,0.063519,0.546018,0.4825,1008.0,13236.498047,1024.0,1024.0,71.525169,19400,64.0,1999.3
0,20200,950,267.661,0.0,120.981117,107.800835,2.449704,0.029616,3.694393,3.694393,3.694393,3.694393,0.016869,0.014215,0.559671,8.271273,0.075095,-8.27773,1.0,0.876537,4.327519,0.080009,0.155104,0.075095,15360.0,5.833136,0.080001,0.609851,0.52985,1008.0,13463.609375,1024.0,1024.0,81.372482,20200,64.0,1999.3
0,21000,1000,281.43,0.0,127.971405,115.178284,2.17628,0.028859,3.87606,3.87606,3.87606,3.87606,0.014681,0.013298,0.727667,8.283335,0.0968,-8.289251,1.0,0.884,3.949783,0.101224,0.198025,0.0968,15360.0,5.489546,0.101201,0.659433,0.558232,1008.0,13578.237305,1024.0,1024.0,89.722702,21000,64.0,1999.3
0,21800,1050,295.082,0.0,119.553024,107.299591,1.916405,0.028465,3.847652,3.847652,3.847652,3.847652,0.013457,0.01279,0.910891,8.285198,0.120473,-8.304667,1.0,0.887229,3.607993,0.128526,0.248999,0.120473,15360.0,5.190875,0.128504,0.728811,0.600307,1008.0,13627.835938,1024.0,1024.0,115.546745,21800,64.0,1999.3
0,22600,1100,308.758,0.0,119.03788,107.361183,1.681252,0.028107,3.750329,3.750329,3.750329,3.750329,0.012139,0.012315,1.096861,8.289291,0.14478,-8.283242,1.0,0.890469,3.268316,0.159025,0.303805,0.14478,15360.0,4.922698,0.158988,0.794021,0.635033,1008.0,13677.601562,1024.0,1024.0,90.21106,22600,64.0,1999.3
0,23400,1150,322.525,0.0,110.182739,98.827843,1.473134,0.027759,3.887366,3.887366,3.887366,3.887366,0.013491,0.011904,1.239551,8.294211,0.163559,-8.278543,1.0,0.892902,2.961205,0.191279,0.354838,0.163559,15360.0,4.590515,0.191257,0.861631,0.670374,1008.0,13714.969727,1024.0,1024.0,94.346817,23400,64.0,1999.3
0,24200,1200,336.298,0.0,116.888306,105.434029,1.291248,0.027587,4.158163,4.158163,4.158163,4.158163,0.01493,0.011618,1.348741,8.303063,0.176763,-8.295951,1.0,0.896261,2.866146,0.225815,0.402578,0.176763,15360.0,4.48854,0.225773,0.91594,0.690167,1008.0,13766.574219,1024.0,1024.0,128.371948,24200,64.0,1999.3
