segment,env_step,gradient_step,elapsed_s,eval_seconds,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
0,5800,50,20.224,0.0,1242.993652,1224.850586,5.538021,0.73956,7.040743,7.040743,7.040743,7.040743,0.029523,0.511243,-0.000197,7.834757,4.2e-05,-7.835474,1.0,0.072023,0.797807,5.9e-05,1.6e-05,4.2e-05,15360.0,11.076994,6.4e-05,0.393823,0.393758,1008.0,1106.269287,1024.0,1024.0,7159.290039,5800,64.0,1999.3
0,6600,100,33.973,0.0,1165.820557,1148.39502,5.520436,0.667917,6.38784,6.38784,6.38784,6.38784,0.029491,0.47674,-0.000379,7.837154,0.00026,-7.840889,1.0,0.081172,0.896801,0.000369,0.00011,0.00026,15360.0,11.047482,0.0004,0.401255,0.400854,1008.0,1246.794922,1024.0,1024.0,7040.304199,6600,64.0,1999.3
0,7400,150,47.659,0.0,973.935425,956.598267,5.485264,0.576407,6.297,6.297,6.297,6.297,0.04996,0.429043,-0.00085,7.842101,0.000741,-7.840317,1.0,0.095825,1.052696,0.001083,0.000342,0.000741,15360.0,10.989789,0.001115,0.690055,0.68894,1008.0,1471.869873,1024.0,1024.0,6652.628418,7400,64.0,1999.3
0,8200,200,61.258,0.0,701.99939,684.155151,5.426182,0.449974,6.610783,6.610783,6.610783,6.610783,0.041425,0.354302,-0.00193,7.852147,0.001373,-7.838892,1.0,0.131777,1.433462,0.002258,0.000885,0.001373,15360.0,10.882458,0.002316,0.55098,0.548663,1008.0,2024.091309,1024.0,1024.0,5525.62793,8200,64.0,1999.3
0,9000,250,74.861,0.0,430.055573,410.871765,5.343889,0.266965,7.179663,7.179663,7.179663,7.179663,0.050522,0.226591,-0.004075,7.871452,0.001653,-7.882973,1.0,0.228871,2.455405,0.003848,0.002195,0.001653,15360.0,10.746664,0.003955,0.709521,0.705565,1008.0,3515.460693,1024.0,1024.0,3274.247803,9000,64.0,1999.3
0,9800,300,88.482,0.0,321.440765,300.60144,5.230619,0.137618,7.368133,7.368133,7.368133,7.368133,0.029431,0.119924,-0.003718,7.902904,0.000764,-7.914256,1.0,0.398863,4.203817,0.005373,0.00462,0.000764,15360.0,10.553526,0.005454,0.414379,0.408925,1008.0,6126.535156,1024.0,1024.0,1604.019287,9800,64.0,1999.3
0,10600,350,102.197,0.0,275.189117,253.358765,5.095766,0.07914,7.060115,7.060115,7.060115,7.060115,0.032172,0.065634,0.003997,7.944058,0.001076,-7.944456,1.0,0.560761,5.782662,0.007226,0.008299,0.001076,15360.0,10.342181,0.007301,0.45014,0.442839,1008.0,8613.289062,1024.0,1024.0,702.179626,10600,64.0,1999.3
0,11400,400,115.815,0.0,238.244934,216.118057,4.940156,0.055571,6.718139,6.718139,6.718139,6.718139,0.027859,0.042256,0.018542,7.984906,0.003462,-7.993814,1.0,0.667004,6.697227,0.009293,0.012755,0.003462,15360.0,10.08475,0.009368,0.411304,0.401936,1008.0,10245.180664,1024.0,1024.0,365.123596,11400,64.0,1999.3
0,12200,450,129.507,0.0,206.02269,184.686432,4.772158,0.045522,5.842461,5.842461,5.842461,5.842461,0.038441,0.03186,0.037076,8.021797,0.00618,-8.002051,1.0,0.731197,7.109962,0.011659,0.017839,0.00618,15360.0,9.816187,0.011722,0.541757,0.530034,1008.0,11231.177734,1024.0,1024.0,217.01088,12200,64.0,1999.3
0,13000,500,143.106,0.0,208.376999,187.342896,4.590068,0.041545,5.761248,5.761248,5.761248,5.761248,0.028,0.027621,0.056589,8.054395,0.00893,-8.034175,1.0,0.766021,7.172289,0.014488,0.023417,0.00893,15360.0,9.454069,0.014532,0.452592,0.43806,1008.0,11766.083984,1024.0,1024.0,409.263733,13000,64.0,1999.3
0,13800,550,156.72,0.0,189.1763,168.659424,4.39802,0.037922,5.578396,5.578396,5.578396,5.578396,0.029952,0.0237,0.07945,8.084246,0.01203,-8.063735,1.0,0.796815,7.13923,0.017861,0.029891,0.01203,15360.0,9.086726,0.017897,0.466511,0.448614,1008.0,12239.083008,1024.0,1024.0,291.379608,13800,64.0,1999.3
0,14600,600,170.334,0.0,178.498123,159.108765,4.206046,0.036695,4.996932,4.996932,4.996932,4.996932,0.044979,0.02232,0.106317,8.109949,0.015678,-8.121924,1.0,0.81201,6.916061,0.022255,0.037933,0.015678,15360.0,8.758687,0.02228,0.694711,0.672431,1008.0,12472.472656,1024.0,1024.0,125.332268,14600,64.0,1999.3
0,15400,650,184.046,0.0,168.735916,150.233215,3.969677,0.036141,4.80233,4.80233,4.80233,4.80233,0.030877,0.021675,0.139251,8.135714,0.020159,-8.151427,1.0,0.820937,6.598298,0.027766,0.047925,0.020159,15360.0,8.255865,0.027789,0.526896,0.499108,1008.0,12609.591797,1024.0,1024.0,225.354355,15400,64.0,1999.3
0,16200,700,197.67,0.0,162.692078,144.61087,3.734605,0.033514,4.971597,4.971597,4.971597,4.971597,0.025734,0.018759,0.181856,8.159978,0.025788,-8.150008,1.0,0.841453,6.330337,0.03448,0.060267,0.025788,15360.0,7.773786,0.034505,0.505175,0.470669,1008.0,12924.712891,1024.0,1024.0,119.962097,16200,64.0,1999.3
0,17000,750,211.381,0.0,153.896133,137.10733,3.489987,0.032696,4.454032,4.454032,4.454032,4.454032,0.030468,0.017791,0.230391,8.180004,0.032313,-8.166264,1.0,0.84803,5.914915,0.042699,0.075012,0.032313,15360.0,7.404593,0.042714,0.595976,0.553262,1008.0,13025.740234,1024.0,1024.0,135.470947,17000,64.0,1999.3
0,17800,800,224.921,0.0,148.050568,132.390945,3.225584,0.03094,4.122616,4.122616,4.122616,4.122616,0.022301,0.015757,0.303277,8.198994,0.041663,-8.199057,1.0,0.864433,5.517095,0.053326,0.094988,0.041663,15360.0,6.826119,0.053343,0.53803,0.484686,1008.0,13277.697266,1024.0,1024.0,136.506927,17800,64.0,1999.3
0,18600,850,238.647,0.0,147.821671,132.684113,2.957428,0.032567,4.512058,4.512058,4.512058,4.512058,0.021185,0.017542,0.374217,8.215697,0.051721,-8.209255,1.0,0.853125,4.900424,0.066468,0.118189,0.051721,15360.0,6.365583,0.066476,0.57259,0.506114,1008.0,13104.004883,1024.0,1024.0,197.229477,18600,64.0,1999.3
0,19400,900,252.282,0.0,137.119232,122.839752,2.680914,0.030411,4.41327,4.41327,4.41327,4.41327,0.022157,0.015096,0.496731,8.228749,0.067548,-8.220016,1.0,0.869461,4.416451,0.081319,0.148868,0.067548,15360.0,6.001228,0.081323,0.636481,0.555158,1008.0,13354.923828,1024.0,1024.0,104.389526,19400,64.0,1999.3
