env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
19400,900,310.867,141.690796,128.10257,2.742446,0.03042,3.81721,3.81721,3.81721,3.81721,0.022231,0.015166,0.402405,8.260753,0.054543,-8.230895,1.0,0.872464,4.411551,0.075569,0.130112,0.054543,15360.0,6.008226,0.07557,0.606053,0.530482,1008.0,13401.052734,1024.0,1024.0,101.65126,19400,64.0,1999.3
20200,950,327.844,131.37059,118.464828,2.469883,0.034441,4.090178,4.090178,4.090178,4.090178,0.0159,0.019545,0.503418,8.273724,0.069024,-8.285566,1.0,0.850068,3.758008,0.093052,0.162077,0.069024,15360.0,5.469381,0.093057,0.59419,0.501133,1008.0,13057.044922,1024.0,1024.0,150.454712,20200,64.0,1999.3
21000,1000,344.771,129.27269,117.070694,2.194597,0.030231,3.826329,3.826329,3.826329,3.826329,0.016711,0.014823,0.691264,8.288649,0.0925,-8.289924,1.0,0.875797,3.500953,0.115438,0.207938,0.0925,15360.0,5.253298,0.115441,0.695636,0.580194,1008.0,13452.236328,1024.0,1024.0,195.670624,21000,64.0,1999.3
21800,1050,361.631,142.070831,129.737488,2.003843,0.030565,4.326485,4.326485,4.326485,4.326485,0.024219,0.015308,0.860715,8.297669,0.115154,-8.307997,1.0,0.873884,3.17675,0.145483,0.260636,0.115154,15360.0,5.007763,0.145478,0.826734,0.681256,1008.0,13422.856445,1024.0,1024.0,135.859573,21800,64.0,1999.3
22600,1100,378.86,124.253189,113.013184,1.701519,0.031954,3.922213,3.922213,3.922213,3.922213,0.013898,0.01678,0.997769,8.302916,0.134586,-8.310665,1.0,0.863679,2.806712,0.177636,0.312222,0.134586,15360.0,4.625427,0.177639,0.801441,0.623802,1008.0,13266.115234,1024.0,1024.0,151.373688,22600,64.0,1999.3
23400,1150,396.084,124.854622,113.829422,1.491537,0.02757,3.821397,3.821397,3.821397,3.821397,0.015624,0.011708,1.235409,8.310341,0.161409,-8.337966,1.0,0.895287,2.731561,0.213756,0.375164,0.161409,15360.0,4.451921,0.213753,0.905092,0.691339,1008.0,13751.609375,1024.0,1024.0,94.377357,23400,64.0,1999.3
24200,1200,412.957,118.712067,107.471031,1.324409,0.028201,4.048356,4.048356,4.048356,4.048356,0.017544,0.012454,1.311632,8.311837,0.172145,-8.322964,1.0,0.89016,2.728779,0.254627,0.426772,0.172145,15360.0,4.649408,0.254625,1.002123,0.747499,1008.0,13672.851562,1024.0,1024.0,99.50676,24200,64.0,1999.3
25000,1250,429.75,119.881432,109.008888,1.152454,0.028782,3.930339,3.930339,3.930339,3.930339,0.016433,0.013101,1.327345,8.315727,0.174826,-8.315051,1.0,0.886863,2.667627,0.294804,0.469629,0.174826,15360.0,4.576535,0.294799,1.009837,0.715038,1008.0,13622.214844,1024.0,1024.0,82.25737,25000,64.0,1999.3
25800,1300,463.385,115.11187,104.181908,1.035243,0.026973,4.038767,4.038767,4.038767,4.038767,0.019638,0.010906,1.373523,8.31571,0.178762,-8.326969,1.0,0.900977,2.620531,0.329475,0.508237,0.178762,15360.0,4.770179,0.32947,1.096947,0.767477,1008.0,13839.003906,1024.0,1024.0,89.362915,25800,64.0,1999.3
26600,1350,480.321,111.733772,101.497116,0.896776,0.026488,3.776315,3.776315,3.776315,3.776315,0.014667,0.010326,1.338246,8.320371,0.173512,-8.343317,1.0,0.901422,2.485408,0.360673,0.534185,0.173512,15360.0,4.452646,0.360672,1.053739,0.693068,1008.0,13845.834961,1024.0,1024.0,218.327698,26600,64.0,1999.3
