step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,post_entropy,prior_entropy,reward_mae,cont_mae,grad_norm
1075,235.895,122.457718,116.258316,1.752736,0.029964,4.015185,4.015185,4.015185,4.015185,33.195477,38.281689,0.009964,0.01457,216.505569
1100,241.612,122.82592,116.792084,1.657606,0.031154,3.950073,3.950073,3.950073,3.950073,32.951336,38.300724,0.017091,0.015927,260.466156
1125,247.037,117.096832,111.132568,1.527845,0.027905,4.00774,4.00774,4.00774,4.00774,32.7957,38.38047,0.01076,0.01213,115.721092
1150,252.559,113.512131,107.841606,1.428619,0.028885,3.830018,3.830018,3.830018,3.830018,32.782166,38.056313,0.012541,0.013238,101.636642
1175,258.305,121.419067,115.557938,1.333724,0.028881,4.089568,4.089568,4.089568,4.089568,33.516182,38.515713,0.011154,0.013281,75.205704
1200,263.736,114.393707,108.771957,1.2461,0.029445,3.951092,3.951092,3.951092,3.951092,32.925728,38.200142,0.013167,0.01388,98.41066
1225,269.154,107.501923,101.843719,1.174799,0.027334,4.050969,4.050969,4.050969,4.050969,33.013443,38.130959,0.014175,0.011468,269.933319
1250,274.574,115.346016,109.924896,1.096057,0.028785,3.905706,3.905706,3.905706,3.905706,32.725796,38.013748,0.013495,0.013041,216.026199
1275,280.094,103.999908,98.857239,1.017555,0.030188,3.722654,3.722654,3.722654,3.722654,32.399849,37.745522,0.011357,0.014471,142.530838
1300,285.523,117.50972,112.172302,0.965812,0.030083,3.946836,3.946836,3.946836,3.946836,32.663128,37.743465,0.013815,0.0145,119.875938
1325,290.925,110.587936,105.387817,0.908512,0.029074,3.875031,3.875031,3.875031,3.875031,32.767998,37.578541,0.014117,0.013214,116.888695
1350,296.435,109.080429,103.910683,0.833174,0.026557,3.918191,3.918191,3.918191,3.918191,32.637669,37.504631,0.011734,0.010387,111.990608
1375,301.856,99.507492,94.415489,0.802554,0.026493,3.875416,3.875416,3.875416,3.875416,32.302437,37.397438,0.013036,0.010249,139.861603
1400,307.281,98.627708,93.548691,0.768102,0.025199,3.896099,3.896099,3.896099,3.896099,31.862316,37.408081,0.013242,0.008624,70.831451
1425,312.712,103.34111,98.185814,0.740956,0.027666,3.987887,3.987887,3.987887,3.987887,32.477528,37.360703,0.011459,0.011467,117.047508
1450,318.237,103.503601,98.395676,0.730661,0.028579,3.953352,3.953352,3.953352,3.953352,32.411217,37.304085,0.01392,0.012559,158.610397
1475,323.659,100.102432,95.053253,0.706135,0.026618,3.924016,3.924016,3.924016,3.924016,32.119633,37.374023,0.012011,0.010342,108.492599
1500,329.028,95.411888,90.287834,0.672796,0.025495,4.023416,4.023416,4.023416,4.023416,31.969563,37.026115,0.011411,0.0089,93.960419
1525,334.405,94.845062,89.594376,0.6769,0.025576,4.134732,4.134732,4.134732,4.134732,31.996468,36.997856,0.013786,0.008937,97.655693
