step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,post_entropy,prior_entropy,reward_mae,cont_mae,grad_norm
4675,1014.905,56.328175,47.651405,0.467308,0.02048,7.444528,7.444528,7.444528,7.444528,29.014454,36.273026,0.012838,0.000371,88.619865
4700,1020.368,58.399353,49.46838,0.498168,0.020482,7.647566,7.647566,7.647566,7.647566,28.948454,36.587711,0.014422,0.000382,121.356476
4725,1025.741,59.657261,51.16573,0.440507,0.020516,7.300464,7.300464,7.300464,7.300464,29.054371,36.492813,0.009748,0.000509,99.581085
4750,1031.116,58.352272,49.83588,0.445595,0.020486,7.318467,7.318467,7.318467,7.318467,28.95306,36.310749,0.010531,0.000392,92.041115
4775,1036.56,59.823063,51.297958,0.461299,0.020514,7.312079,7.312079,7.312079,7.312079,29.176918,36.315079,0.014054,0.000459,145.551529
4800,1041.935,58.784473,50.145348,0.462634,0.020494,7.414545,7.414545,7.414545,7.414545,28.828865,36.378216,0.01183,0.000424,88.702003
4825,1047.311,59.957394,51.357368,0.480789,0.020522,7.362464,7.362464,7.362464,7.362464,28.90205,36.489319,0.012698,0.000506,83.692169
4850,1052.688,54.278545,45.622074,0.454783,0.020474,7.437466,7.437466,7.437466,7.437466,28.877691,36.522274,0.00928,0.000351,92.517426
4875,1058.062,59.656284,50.714653,0.479603,0.020528,7.674091,7.674091,7.674091,7.674091,28.774015,36.504646,0.013424,0.000497,143.759232
4900,1063.524,59.650429,51.008018,0.47379,0.020513,7.407372,7.407372,7.407372,7.407372,28.809124,36.400448,0.012163,0.000463,116.23526
4925,1068.896,59.748989,50.893959,0.451461,0.020523,7.620948,7.620948,7.620948,7.620948,29.112741,36.540958,0.011117,0.000488,142.518234
4950,1074.267,57.613365,48.779026,0.464412,0.020472,7.590414,7.590414,7.590414,7.590414,29.036959,36.438286,0.011006,0.000345,139.463852
4975,1079.729,58.288376,49.670883,0.460764,0.020526,7.396547,7.396547,7.396547,7.396547,28.857876,36.465614,0.011995,0.000453,145.737946
5000,1085.107,59.773018,51.032818,0.471367,0.020523,7.498465,7.498465,7.498465,7.498465,29.102362,36.590401,0.011778,0.000504,165.093765
5025,1090.576,57.002312,48.301674,0.460965,0.02048,7.471992,7.471992,7.471992,7.471992,28.805944,36.648148,0.011169,0.000374,147.435577
5050,1096.081,60.661423,51.814213,0.46247,0.020548,7.60381,7.60381,7.60381,7.60381,28.935375,36.642406,0.012451,0.000529,124.417564
5075,1101.463,56.553879,47.746483,0.450121,0.020491,7.578892,7.578892,7.578892,7.578892,28.840914,36.373478,0.010453,0.000412,137.366058
5100,1106.833,55.494652,46.631439,0.478424,0.020492,7.603904,7.603904,7.603904,7.603904,28.676552,36.463791,0.011351,0.000413,81.614883
5125,1112.209,57.089737,48.18882,0.445425,0.020495,7.668175,7.668175,7.668175,7.668175,28.775597,36.563316,0.010427,0.000411,104.216537
5150,1117.589,57.887108,49.12645,0.447416,0.020485,7.538871,7.538871,7.538871,7.538871,28.486111,36.382172,0.009693,0.000399,146.465332
5175,1123.061,60.512432,51.514149,0.46771,0.020502,7.736431,7.736431,7.736431,7.736431,29.035618,36.678284,0.012294,0.000443,117.782173
5200,1128.431,61.017387,52.032001,0.464594,0.020525,7.727517,7.727517,7.727517,7.727517,28.968616,36.545685,0.011271,0.000494,110.523582
5225,1133.801,59.924625,50.811924,0.469303,0.020474,7.839025,7.839025,7.839025,7.839025,28.717533,36.740101,0.010662,0.000358,76.673645
5250,1139.265,54.548958,45.561066,0.452133,0.020472,7.74117,7.74117,7.74117,7.74117,28.776937,36.44841,0.009674,0.000332,99.643356
5275,1144.634,53.008881,43.876328,0.424095,0.020473,7.898166,7.898166,7.898166,7.898166,28.687119,36.389782,0.009473,0.000351,158.040176
5300,1150.0,51.838749,43.115681,0.432016,0.020474,7.518708,7.518708,7.518708,7.518708,28.830822,36.489594,0.009251,0.000349,150.968155
5325,1155.462,58.262379,49.176723,0.463318,0.020488,7.819863,7.819863,7.819863,7.819863,28.70363,36.477959,0.010636,0.000403,155.605637
5350,1160.839,59.85767,50.558666,0.449528,0.020495,8.026343,8.026343,8.026343,8.026343,28.775528,36.865726,0.010417,0.000404,106.6399
5375,1166.214,55.943867,46.785583,0.443373,0.020483,7.90402,7.90402,7.90402,7.90402,28.725021,36.609802,0.010085,0.000398,132.58754
5400,1171.61,56.408573,47.149586,0.449569,0.020476,7.989945,7.989945,7.989945,7.989945,28.971897,36.824272,0.012217,0.000347,154.985779
5425,1176.971,55.151466,45.968643,0.478129,0.020476,7.894743,7.894743,7.894743,7.894743,28.526932,36.518913,0.014556,0.000356,128.226746
5450,1182.431,56.214512,46.977837,0.45805,0.020472,7.961957,7.961957,7.961957,7.961957,28.831059,36.892555,0.012624,0.000335,123.170654
5475,1187.809,58.223667,48.919014,0.453601,0.020473,8.027799,8.027799,8.027799,8.027799,28.971958,36.679001,0.010307,0.000338,128.879807
5500,1193.188,53.078465,43.846634,0.462222,0.020468,7.953768,7.953768,7.953768,7.953768,28.548492,36.696564,0.011787,0.000321,114.481438
5525,1198.632,54.928272,45.737385,0.468561,0.020471,7.910779,7.910779,7.910779,7.910779,28.526085,36.700539,0.011187,0.000342,102.451759
5550,1204.002,54.888634,45.732307,0.464321,0.020467,7.883215,7.883215,7.883215,7.883215,28.675495,36.58305,0.010706,0.000315,91.878235
5575,1209.37,55.556011,46.318768,0.48961,0.020505,7.933753,7.933753,7.933753,7.933753,28.609858,36.748863,0.012594,0.00043,144.915863
5600,1214.746,54.379951,45.481918,0.434222,0.02047,7.675764,7.675764,7.675764,7.675764,28.576759,36.338696,0.008319,0.000331,134.340469
5625,1220.205,55.316929,45.997894,0.459894,0.020467,8.035159,8.035159,8.035159,8.035159,28.156345,36.638474,0.010353,0.000318,147.760971
5650,1225.575,56.961353,47.97097,0.480297,0.020487,7.717814,7.717814,7.717814,7.717814,28.896774,36.749477,0.011258,0.000387,90.101166
5675,1230.942,59.692238,50.445076,0.475094,0.020532,7.955943,7.955943,7.955943,7.955943,28.818352,36.903076,0.013462,0.000502,159.280457
5700,1236.334,52.495026,43.189713,0.485281,0.020474,7.9996,7.9996,7.9996,7.9996,28.398491,36.574257,0.013189,0.000346,104.175583
5725,1241.805,60.851013,51.363045,0.490079,0.020536,8.161234,8.161234,8.161234,8.161234,28.621319,36.882545,0.013375,0.000512,151.634308
5750,1247.188,54.0672,44.889694,0.444989,0.02048,7.920033,7.920033,7.920033,7.920033,28.540716,36.596745,0.010377,0.000364,145.420181
5775,1252.564,53.812054,44.481285,0.453621,0.020469,8.051525,8.051525,8.051525,8.051525,28.303543,36.64127,0.009573,0.00032,145.060379
5800,1258.024,59.159206,49.877846,0.4724,0.02051,7.989499,7.989499,7.989499,7.989499,28.793089,36.746811,0.013116,0.000462,123.012878
5825,1263.389,57.237061,47.944946,0.483885,0.020529,7.988822,7.988822,7.988822,7.988822,28.557884,36.624702,0.011626,0.000475,124.429634
5850,1268.75,53.938618,44.432259,0.439655,0.02047,8.223852,8.223852,8.223852,8.223852,28.430061,36.700867,0.010546,0.000324,149.070419
5875,1274.122,53.028214,43.558678,0.466717,0.020467,8.165774,8.165774,8.165774,8.165774,28.526743,36.715229,0.011499,0.000314,117.093987
5900,1279.573,53.441422,44.174168,0.452501,0.02048,7.994793,7.994793,7.994793,7.994793,28.55183,36.632973,0.010247,0.000373,107.857117
5925,1284.946,62.24028,52.606022,0.49799,0.020532,8.287032,8.287032,8.287032,8.287032,28.709368,36.793724,0.015625,0.000502,106.389786
5950,1290.314,55.464741,46.011265,0.446133,0.020465,8.169887,8.169887,8.169887,8.169887,28.273954,36.66375,0.009994,0.000301,104.141365
5975,1295.694,53.13464,43.703865,0.451122,0.02047,8.14471,8.14471,8.14471,8.14471,28.585289,36.842377,0.010024,0.000327,117.926971
6000,1301.163,51.890095,42.704937,0.451999,0.020461,7.92063,7.92063,7.92063,7.92063,28.633816,36.786957,0.008659,0.00028,160.345337
6025,1306.63,54.778622,45.47036,0.450118,0.020465,8.034254,8.034254,8.034254,8.034254,28.538607,36.5476,0.011345,0.000292,110.151978
6050,1312.053,51.32024,41.937286,0.447121,0.020463,8.104881,8.104881,8.104881,8.104881,28.483236,36.708229,0.010426,0.000283,80.234207
6075,1317.516,58.181183,48.701042,0.462629,0.020502,8.179104,8.179104,8.179104,8.179104,28.527567,36.698334,0.011235,0.000408,142.534592
6100,1322.887,54.841537,45.113968,0.472824,0.020477,8.394791,8.394791,8.394791,8.394791,28.465248,36.788086,0.012254,0.000334,132.515915
6125,1328.253,56.205074,46.579205,0.456162,0.020474,8.317485,8.317485,8.317485,8.317485,28.400669,36.745049,0.009381,0.000339,109.210251
6150,1333.622,53.871159,44.232719,0.456735,0.020474,8.328393,8.328393,8.328393,8.328393,28.671017,36.965183,0.009215,0.000335,145.512146
6175,1339.073,57.333717,47.612488,0.465245,0.020472,8.395918,8.395918,8.395918,8.395918,28.478161,36.809948,0.01133,0.000331,130.926941
6200,1344.443,54.0327,44.544628,0.46011,0.020479,8.188622,8.188622,8.188622,8.188622,28.147675,36.556499,0.010863,0.000329,130.434921
6225,1349.805,54.219391,44.836338,0.44422,0.020475,8.107594,8.107594,8.107594,8.107594,28.524239,36.642899,0.009844,0.000341,118.759331
6250,1355.171,52.494789,43.015724,0.450939,0.020466,8.188781,8.188781,8.188781,8.188781,28.542833,36.77948,0.010624,0.0003,118.726036
6275,1360.633,53.861839,44.328716,0.446085,0.020461,8.242344,8.242344,8.242344,8.242344,28.217625,36.641811,0.010318,0.000274,107.723206
6300,1366.003,52.189342,42.784554,0.449418,0.020468,8.122639,8.122639,8.122639,8.122639,28.574078,36.635529,0.008924,0.000304,102.995102
6325,1371.382,54.719574,44.96677,0.474431,0.020468,8.416273,8.416273,8.416273,8.416273,28.220631,36.672272,0.012732,0.000315,184.334671
6350,1376.837,51.218067,41.771801,0.434713,0.020469,8.173714,8.173714,8.173714,8.173714,28.312649,36.573837,0.009283,0.000315,108.521912
6375,1382.199,53.866856,43.881573,0.439748,0.020462,8.659157,8.659157,8.659157,8.659157,28.369282,36.768829,0.010746,0.000287,111.596313
6400,1387.571,53.612385,43.883018,0.495256,0.02047,8.37604,8.37604,8.37604,8.37604,28.174072,36.556213,0.013514,0.000315,144.160767
6425,1392.961,50.094929,40.359524,0.432846,0.020459,8.438275,8.438275,8.438275,8.438275,28.354702,36.723999,0.009815,0.000264,135.103897
6450,1398.427,52.678413,42.728584,0.444765,0.020467,8.622362,8.622362,8.622362,8.622362,28.374912,36.746758,0.010164,0.000308,138.00943
6475,1403.793,49.957993,40.516983,0.45546,0.02046,8.150083,8.150083,8.150083,8.150083,28.290426,36.618195,0.009652,0.000271,107.517998
6500,1409.156,53.219952,43.467724,0.437646,0.020465,8.449198,8.449198,8.449198,8.449198,28.352394,36.854652,0.009808,0.000298,126.738083
6525,1414.532,55.341225,45.650337,0.426358,0.020467,8.403692,8.403692,8.403692,8.403692,28.272663,36.638145,0.008849,0.000303,112.684799
6550,1419.894,55.186996,45.224449,0.508555,0.020485,8.575915,8.575915,8.575915,8.575915,28.372227,36.881813,0.014275,0.000369,109.620155
6575,1425.359,56.373745,46.7355,0.503367,0.020519,8.28578,8.28578,8.28578,8.28578,28.642685,36.90004,0.013353,0.000473,157.037582
6600,1430.738,48.819763,39.083866,0.463768,0.02046,8.41061,8.41061,8.41061,8.41061,28.260811,36.939922,0.011486,0.000267,106.908791
6625,1436.114,55.079159,45.080666,0.489805,0.020468,8.625652,8.625652,8.625652,8.625652,28.249004,36.938366,0.012812,0.000305,102.151619
6650,1441.577,54.469242,44.499187,0.469362,0.020488,8.61837,8.61837,8.61837,8.61837,28.25016,36.601105,0.010988,0.000346,120.346931
6675,1446.947,49.805153,39.796204,0.466381,0.02046,8.656462,8.656462,8.656462,8.656462,28.220041,36.749199,0.011791,0.00027,119.199348
6700,1452.322,51.974953,41.993637,0.456929,0.020459,8.639934,8.639934,8.639934,8.639934,28.291128,36.93676,0.011919,0.000265,136.5457
6725,1457.777,55.453999,45.630829,0.44835,0.020488,8.503936,8.503936,8.503936,8.503936,28.361786,36.858353,0.011388,0.000353,103.032867
6750,1463.155,58.138046,47.867638,0.525045,0.020497,8.84079,8.84079,8.84079,8.84079,28.397236,36.810486,0.017428,0.000394,122.761238
6775,1468.519,46.491375,36.551208,0.459276,0.020464,8.600384,8.600384,8.600384,8.600384,28.355259,36.818279,0.011655,0.000285,130.768066
6800,1473.887,53.261471,43.463097,0.471018,0.02047,8.460804,8.460804,8.460804,8.460804,28.199202,36.774193,0.012543,0.000305,115.395134
6825,1479.253,58.052544,48.038692,0.471665,0.020496,8.656082,8.656082,8.656082,8.656082,28.06179,36.901035,0.011496,0.000372,215.766922
6850,1484.717,54.722797,44.882652,0.44293,0.020467,8.524319,8.524319,8.524319,8.524319,28.238396,36.801018,0.009875,0.00029,127.15744
6875,1490.088,52.191875,42.12381,0.456665,0.020465,8.719032,8.719032,8.719032,8.719032,28.065071,36.962532,0.010526,0.000291,109.207489
6900,1495.459,51.866024,41.878021,0.451778,0.020467,8.650688,8.650688,8.650688,8.650688,28.091763,36.886314,0.009746,0.000298,151.377975
6925,1500.911,54.858894,44.913467,0.470865,0.020468,8.594634,8.594634,8.594634,8.594634,28.247204,36.947433,0.011602,0.000295,107.422401
6950,1506.271,53.750034,43.710388,0.430123,0.020464,8.717325,8.717325,8.717325,8.717325,28.087841,36.673317,0.009502,0.000279,117.791351
6975,1511.62,50.716187,40.556519,0.451822,0.020457,8.806714,8.806714,8.806714,8.806714,28.031065,36.874718,0.011539,0.00025,122.151901
7000,1517.055,51.656044,41.912773,0.413096,0.020462,8.463373,8.463373,8.463373,8.463373,28.253498,36.804359,0.009447,0.000273,118.766869
7025,1522.503,57.093296,46.787376,0.535733,0.020465,8.863384,8.863384,8.863384,8.863384,28.031288,36.976482,0.01496,0.000286,133.985428
7050,1527.919,53.570835,43.374722,0.441438,0.020457,8.849288,8.849288,8.849288,8.849288,28.117609,36.854511,0.009334,0.000246,148.757996
7075,1533.284,51.705624,41.730904,0.442657,0.020455,8.646915,8.646915,8.646915,8.646915,28.072672,36.74548,0.008887,0.000229,118.783119
7100,1538.656,50.687157,40.91465,0.425896,0.020461,8.478316,8.478316,8.478316,8.478316,27.919579,36.818283,0.009946,0.000273,136.314346
7125,1544.113,51.71064,41.649384,0.464959,0.020459,8.705309,8.705309,8.705309,8.705309,28.047932,36.774155,0.010285,0.000261,128.409821
7150,1549.489,54.087467,44.063789,0.457361,0.02046,8.678055,8.678055,8.678055,8.678055,28.179573,36.939079,0.009821,0.00027,121.391335
7175,1554.869,53.368214,43.382774,0.438791,0.020458,8.660177,8.660177,8.660177,8.660177,28.179222,36.852554,0.009989,0.000251,134.392349
7200,1560.334,53.333401,42.901142,0.449277,0.020457,9.056838,9.056838,9.056838,9.056838,27.927206,36.928043,0.009617,0.000244,127.421097
7225,1565.708,50.088028,39.966667,0.443352,0.020459,8.779593,8.779593,8.779593,8.779593,28.100544,36.899727,0.009517,0.000256,112.729836
7250,1571.085,51.579624,41.408054,0.443522,0.020464,8.825073,8.825073,8.825073,8.825073,28.227282,36.865128,0.010499,0.00027,150.320908
7275,1576.536,55.737129,45.624218,0.444786,0.020459,8.770608,8.770608,8.770608,8.770608,28.168043,36.95974,0.010224,0.000257,127.668999
7300,1581.909,46.980942,37.051231,0.444053,0.020455,8.604731,8.604731,8.604731,8.604731,28.053713,36.569427,0.010362,0.00024,138.851715
7325,1587.283,50.844101,40.691383,0.447685,0.020457,8.804155,8.804155,8.804155,8.804155,27.878345,36.717743,0.00918,0.000244,105.025368
7350,1592.652,53.035488,42.821514,0.474954,0.020473,8.835045,8.835045,8.835045,8.835045,28.166195,36.772491,0.012367,0.000294,129.164337
7375,1598.032,50.397995,40.248604,0.456245,0.020456,8.793354,8.793354,8.793354,8.793354,28.112663,37.03442,0.010581,0.000237,102.154327
7400,1603.51,54.098274,44.108959,0.457982,0.020461,8.64625,8.64625,8.64625,8.64625,28.115677,36.726521,0.010821,0.000258,132.515717
7425,1608.882,50.59824,40.414219,0.444153,0.020455,8.835832,8.835832,8.835832,8.835832,27.982229,36.973648,0.009888,0.000235,114.665352
7450,1614.244,51.272659,41.192513,0.457935,0.02046,8.728868,8.728868,8.728868,8.728868,28.138552,36.77795,0.010024,0.000263,160.163895
7475,1619.705,50.920994,41.066658,0.455016,0.020455,8.526241,8.526241,8.526241,8.526241,28.274714,36.823891,0.010681,0.000236,150.022797
7499,1624.861,48.986931,38.907104,0.444107,0.020459,8.741148,8.741148,8.741148,8.741148,28.147606,36.918846,0.01038,0.000247,148.965103
